"Country","City","TypeContract","PriceValue"
"Romania","Deva","Furnizare","57420"
"Romania","Deva","Furnizare","2625"
"Romania","Deva","Furnizare","9900"
"Romania","Deva","Furnizare","10530"
"Romania","Deva","Furnizare","1080"
"Romania","Deva","Furnizare","1040"
"Romania","Deva","Furnizare","914"
"Romania","Deva","Furnizare","7279"
"Romania","Deva","Furnizare","30600"
"Romania","Deva","Furnizare","7920"
"Romania","Deva","Furnizare","9720"
"Romania","Deva","Furnizare","5040"
"Romania","Deva","Furnizare","35100"
"Romania","Deva","Furnizare","8509"
"Romania","Deva","Furnizare","14664"
"Romania","Deva","Furnizare","8172"
"Romania","Deva","Furnizare","4252"
"Romania","Deva","Furnizare","3300"
"Romania","Deva","Furnizare","5760"
"Romania","Deva","Furnizare","3420"
"Romania","Deva","Furnizare","2700"
"Romania","Deva","Furnizare","10530"
"Romania","Deva","Furnizare","1728"
"Romania","Deva","Furnizare","3240"
"Romania","Deva","Furnizare","2160"
"Romania","Deva","Furnizare","14400"
"Romania","Deva","Furnizare","4752"
"Romania","Deva","Furnizare","7920"
"Romania","Deva","Furnizare","7200"
"Romania","Deva","Furnizare","9720"
"Romania","Deva","Furnizare","97146"
"Romania","Deva","Furnizare","7560"
"Romania","Deva","Furnizare","27720"
"Romania","Deva","Furnizare","980970"
"Romania","Deva","Furnizare","18950"
"Romania","Deva","Furnizare","9255643"
"Romania","Deva","Furnizare","3600"
"Romania","Deva","Furnizare","4860"
"Romania","Deva","Furnizare","4882"
"Romania","Deva","Furnizare","13680"
"Romania","Deva","Furnizare","10080"
"Romania","Deva","Furnizare","25812"
"Romania","Deva","Furnizare","414"
"Romania","Deva","Furnizare","9720"
"Romania","Deva","Furnizare","12499"
"Romania","Deva","Furnizare","1728"
"Romania","Deva","Furnizare","30672"
"Romania","Deva","Furnizare","36000"
"Romania","Deva","Furnizare","5400"
"Romania","Deva","Furnizare","6156"
"Romania","Deva","Furnizare","8254"
"Romania","Deva","Furnizare","19872"
"Romania","Deva","Furnizare","142200"
"Romania","Deva","Furnizare","42840"
"Romania","Deva","Furnizare","9504"
"Romania","Deva","Furnizare","267624"
"Romania","Deva","Furnizare","20400"
"Romania","Deva","Furnizare","8604"
"Romania","Bucuresti","Furnizare","418176"
"Romania","Bucuresti","Furnizare","16776"
"Romania","Bucuresti","Furnizare","4795"
"Romania","Bucuresti","Furnizare","6183"
"Romania","Bucuresti","Furnizare","37170"
"Romania","Bucuresti","Furnizare","1890"
"Romania","Bucuresti","Furnizare","41040"
"Romania","Bucuresti","Furnizare","16542"
"Romania","Bucuresti","Furnizare","117720"
"Romania","Bucuresti","Furnizare","2599"
"Romania","Bucuresti","Furnizare","84186"
"Romania","Bucuresti","Furnizare","11864"
"Romania","Bucuresti","Furnizare","24480"
"Romania","Bucuresti","Furnizare","19224"
"Romania","Bucuresti","Furnizare","247536"
"Romania","Bucuresti","Furnizare","68332"
"Romania","Bucuresti","Furnizare","115536"
"Romania","Bucuresti","Furnizare","170280"
"Romania","Bucuresti","Furnizare","27648"
"Romania","Bucuresti","Furnizare","8670"
"Romania","Bucuresti","Furnizare","207014"
"Romania","Bucuresti","Furnizare","396"
"Romania","Bucuresti","Furnizare","4759"
"Romania","Bucuresti","Furnizare","271080"
"Romania","Bucuresti","Furnizare","15336"
"Romania","Bucuresti","Furnizare","28620"
"Romania","Bucuresti","Furnizare","54360"
"Romania","Bucuresti","Furnizare","14040"
"Romania","Bucuresti","Furnizare","50508"
"Romania","Bucuresti","Furnizare","2419"
"Romania","Bucuresti","Furnizare","1008"
"Romania","Bucuresti","Furnizare","14832"
"Romania","Bucuresti","Furnizare","17910"
"Romania","Bucuresti","Furnizare","6336"
"Romania","Bucuresti","Furnizare","4320"
"Romania","Bucuresti","Furnizare","6419"
